iter	Passed	Remaining
0	0	88
1	1	78
2	2	75
3	2	69
4	3	68
5	4	67
6	4	66
7	5	65
8	6	65
9	7	64
10	7	64
11	8	63
12	9	62
13	10	62
14	10	62
15	11	61
16	12	60
17	13	61
18	14	60
19	15	61
20	16	60
21	17	60
22	18	60
23	18	60
24	19	59
25	20	59
26	21	58
27	22	58
28	23	58
29	24	57
30	25	56
31	26	56
32	27	55
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	50
41	35	48
42	36	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	43	41
51	44	40
52	45	39
53	45	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	57	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	81	4
95	82	3
96	83	2
97	85	1
98	85	0
99	86	0
